車站種類,車站狀態,車站編號,車站名稱,所在縣市,行政區,轉乘狀態,轉乘捷運,轉乘台鐵,轉乘高鐵,車站位置,lat,lng
tp_mrt,1,BR21,台北捷運葫洲站,台北市,內湖區,N,0,0,0,台北市內湖區康寧路3段16號,25.07271,121.607146
tp_mrt,1,BR22,台北捷運東湖站,台北市,內湖區,N,1,0,0,台北市內湖區康寧路3段235號,25.067455,121.611535
tp_mrt,1,BR23,台北捷運南港軟體園區站,台北市,南港區,N,0,0,0,台北市南港區經貿二路183號,25.05992,121.615
tp_mrt,1,BR24,台北捷運南港展覽館站,台北市,南港區,M,1,0,0,文湖線：115018台北市南港區南港路1段32號,25.054919,121.616861
tp_mrt,1,G01,台北捷運新店站,新北市,新店區,N,0,0,0,新北市新店區北宜路1段2號,24.95761,121.53746
tp_mrt,1,G02,台北捷運新店區公所站,新北市,新店區,N,0,0,0,新北市新店區北新路1段295號,24.96744,121.5413
tp_mrt,1,G03,台北捷運七張站,新北市,新店區,N,0,0,0,新北市新店區北新路2段150號,24.97545,121.54298500000002
tp_mrt,1,G03A,台北捷運小碧潭站,新北市,新店區,N,0,0,0,新北市新店區中央路151號,24.97188,121.53058
tp_mrt,1,G04,台北捷運大坪林站,新北市,新店區,M,1,0,0,新北市新店區北新路3段190號,24.98272,121.54134
tp_mrt,1,G05,台北捷運景美站,台北市,文山區,N,0,0,0,台北市文山區羅斯福路6段216號,24.992824,121.540697
tp_mrt,1,G06,台北捷運萬隆站,台北市,文山區,N,0,0,0,台北市文山區羅斯福路5段214號,25.001978,121.539008
tp_mrt,1,G07,台北捷運公館站,台北市,中正區,N,0,0,0,台北市中正區羅斯福路4段64之1號,25.014781,121.534358
tp_mrt,1,G08,台北捷運台電大樓站,台北市,中正區,N,0,0,0,台北市中正區羅斯福路3段126之5號,25.020733,121.528143
tp_mrt,1,G09,台北捷運古亭站,台北市,中正區,M,1,0,0,台北市中正區羅斯福路2段164之1號,25.026373,121.522868
tp_mrt,1,G10,台北捷運中正紀念堂站,台北市,中正區,M,2,0,0,台北市中正區羅斯福路1段8之1號,25.032767,121.518273
tp_mrt,1,G11,台北捷運小南門站,台北市,中正區,N,0,0,0,台北市中正區愛國西路22號,25.035585,121.51088
tp_mrt,1,G12,台北捷運西門站,台北市,中正區,M,1,0,0,台北市中正區寶慶路32之1號,25.042025,121.508175
tp_mrt,1,G13,台北捷運北門站,台北市,大同區,M,3,1,1,台北市大同區塔城街10號,25.049554,121.510184
tp_mrt,1,G14,台北捷運中山站,台北市,大同區,M,1,0,0,台北市大同區南京西路55號,25.052621,121.520364
tp_mrt,1,G15,台北捷運松江南京站,台北市,中山區,M,1,0,0,台北市中山區松江路126號,25.052693,121.53285
tp_mrt,1,G16,台北捷運南京復興站,台北市,松山區,M,1,0,0,台北市松山區南京東路3段253號,25.052044,121.544303
tp_mrt,1,G17,台北捷運台北小巨蛋站,台北市,松山區,N,0,0,0,台北市松山區南京東路4段10之1號,25.05152,121.552549
tp_mrt,1,G18,台北捷運南京三民站,台北市,松山區,N,0,0,0,台北市松山區南京東路5段237號,25.051588,121.56471
tp_mrt,1,G19,台北捷運松山站,台北市,松山區,T,1,1,0,台北市松山區八德路4段742號,25.050118,121.577706
tp_mrt,0,LB01,台北捷運頂埔站,新北市,土城區,M,1,0,0,新北市土城區台3線74號,24.95958730000001,121.419094
tp_mrt,0,LB02,台北捷運媽祖田站,新北市,土城區,N,0,0,0,新北市土城區中央路四段281之6號,24.953573199999997,121.4121544
tp_mrt,0,LB03,台北捷運長壽山站,新北市,三峽區,N,0,0,0,新北市三峽區介壽路三段211號,24.9443076,121.40271299999999
