Station_Type,Activated,Station_ID,Station_Name,County,District,T_Status,Num_Mrt,Num_Train,Num_Thsr,Station_Address,lat,lng
TpMrt,1,BL21,昆陽站,台北市,南港區,N,1,0,0,台北市南港區忠孝東路6段451號,25.050459,121.593228
TpMrt_Train_Thsr,1,BL22_0980_Nangang,南港站,台北市,南港區,MTH,1,1,1,台北市南港區忠孝東路7段380號,25.052035,121.60696999999999
TpMrt,1,BR01,動物園站,台北市,文山區,N,1,0,0,台北市文山區新光路2段32號,24.998205,121.57950100000001
TpMrt,1,BR02,木柵站,台北市,文山區,N,1,0,0,台北市文山區木柵路4段135號,24.99824,121.573127
TpMrt,1,BR03,萬芳社區站,台北市,文山區,N,1,0,0,台北市文山區萬芳路60號,24.99857,121.56808799999999
TpMrt,1,BR04,萬芳醫院站,台北市,文山區,N,1,0,0,台北市文山區興隆路3段113號,24.99932,121.55809199999999
TpMrt,1,BR05,辛亥站,台北市,文山區,N,1,0,0,台北市文山區辛亥路4段128號,25.005454999999998,121.557046
TpMrt,1,BR06,麟光站,台北市,大安區,N,1,0,0,台北市大安區和平東路3段410號,25.018495,121.558834
TpMrt,1,BR07,六張犁站,台北市,大安區,N,1,0,0,台北市大安區和平東路3段168號,25.02381,121.55301999999999
TpMrt,1,BR08,科技大樓站,台北市,大安區,N,1,0,0,台北市大安區復興南路2段235號,25.026120000000002,121.543462
TpMrt,1,BR10_BL15,忠孝復興站,台北市,大安區,M,2,0,0,台北市大安區忠孝東路3段302號,25.041749,121.54502600000001
TpMrt,1,BR11_G16,南京復興站,台北市,松山區,M,2,0,0,台北市松山區南京東路3段253號,25.052044,121.544303
TpMrt,1,BR12,中山國中站,台北市,中山區,N,1,0,0,台北市中山區復興北路376號,25.06085,121.544215
TpMrt,1,BR13,松山機場站,台北市,松山區,N,1,0,0,台北市松山區敦化北路338號,25.062908,121.55201000000001
TpMrt,1,BR14,大直站,台北市,中山區,N,1,0,0,台北市中山區北安路534之1號,25.07943,121.54678999999999
TpMrt,1,BR15,劍南路站,台北市,中山區,N,1,0,0,台北市中山區北安路798號,25.08483,121.555582
TpMrt,1,BR16,西湖站,台北市,內湖區,N,1,0,0,台北市內湖區內湖路1段256號,25.082160000000002,121.567227
TpMrt,1,BR17,港墘站,台北市,內湖區,N,1,0,0,台北市內湖區內湖路1段663號,25.080070000000003,121.57516000000001
TpMrt,1,BR18,文德站,台北市,內湖區,N,1,0,0,台北市內湖區文德路214號,25.078454999999998,121.584999
TpMrt,1,BR19,內湖站,台北市,內湖區,N,1,0,0,台北市內湖區成功路4段186號,25.083675,121.59436299999999
TpMrt,1,BR20,大湖公園站,台北市,內湖區,N,1,0,0,台北市內湖區成功路5段11號,25.083804999999998,121.60221399999999
TpMrt,1,BR21,葫洲站,台北市,內湖區,N,1,0,0,台北市內湖區康寧路3段16號,25.07271,121.607146
TpMrt,1,BR22,東湖站,台北市,內湖區,N,1,0,0,台北市內湖區康寧路3段235號,25.067455,121.611535
