,Name,Address,lng,lat,Type
101,伯朗咖啡館 松江店,10491台灣台北市中山區松江路332號,121.5327892,25.0612037,"['cafe', 'food', 'point_of_interest', 'establishment']"
102,Daily Cafe,220台灣新北市板橋區,121.476684,25.0267521,"['cafe', 'food', 'point_of_interest', 'establishment']"
103,幸福咖啡 Fortunate Coffee -桃園南豐店,330台灣桃園市桃園區南豐街185號,121.3057513,24.9831802,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
104,KONA CAFE - 咖啡館,100台灣台北市中正區中華路二段309巷45號,121.5065023,25.0293895,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
105,REEDS Cafe Beitou,112台灣台北市北投區磺港路6號,121.502039,25.133288,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']"
106,暖日咖啡 Warm day cafe,200台灣基隆市仁愛區孝二路107號,121.7406876,25.1307404,"['cafe', 'food', 'point_of_interest', 'establishment']"
107,Miss May Café,231台灣新北市新店區寶強路5號,121.5429139,24.9790687,"['cafe', 'food', 'point_of_interest', 'establishment']"
108,咖啡學人-傑克威爾 The Cafeist & Jackwell,100台灣台北市中正區羅斯福路二段118號,121.5227939,25.0262186,"['cafe', 'food', 'point_of_interest', 'establishment']"
109,J's Place 輕鬆小酒吧,106台灣台北市大安區光復南路420巷27號,121.555925,25.036303,"['cafe', 'bar', 'food', 'point_of_interest', 'establishment']"
110,溫古咖啡 Wengu cafe,106台灣台北市大安區敦化南路一段160巷16號,121.5477676,25.0434837,"['cafe', 'food', 'point_of_interest', 'establishment']"
111,田中九號手作咖啡館,227台灣新北市雙溪區新基西街9號,121.8655553,25.0374029,"['cafe', 'food', 'point_of_interest', 'establishment']"
112,Cafe Grazie 義式屋古拉爵 板橋大遠百新站店,220台灣新北市板橋區新站路28號板橋大遠百9樓,121.466765,25.013651,"['restaurant', 'food', 'point_of_interest', 'establishment']"
113,Drunk Cafe爛醉咖啡,106台灣台北市大安區光復南路116巷9號,121.5560107,25.0433643,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
114,GreatMeet Cafe,111台灣台北市士林區後港街88號,121.5219406,25.0859232,"['cafe', 'food', 'point_of_interest', 'establishment']"
115,85度C咖啡蛋糕飲料麵包(基隆暖暖店),205台灣基隆市暖暖區東勢街2-2號,121.7359147,25.1006064,"['cafe', 'food', 'point_of_interest', 'establishment']"
116,ARANZI CAFE,220台灣新北市板橋區縣民大道二段7號2樓,121.4633739,25.0138822,"['cafe', 'food', 'point_of_interest', 'establishment']"
117,布萊頓咖啡館,116台灣台北市文山區和興路52巷7弄7號1樓,121.5479627,24.9846908,"['cafe', 'food', 'point_of_interest', 'establishment']"
