,Station_Type,Activated,Station_ID,Station_Name,T_Status,Num_Transfer,Num_Atm,Num_Cstore,Num_Med,Num_Ele,Num_Sec,Num_High,All_School,Num_POI,Num_Park,Num_Village,Income_Gross,Income_Average,Population,Child,Adult,Old_Age,Young_Adult,Middle_Age,Child_Dep,Old_Dep,Higher_Edu,Sec_Edu,Ele_Edu,Uneducated,Male,Married,Immigrant,Birth,Vol_All,Vol_Workday,Weekend,Median_Rent,Num_Cafe,Num_Drink,Num_Bar,Num_Gym,Num_Lodging,Cat_Vol,Cat_Rent,Cat_Cafe,Cat_Drink,Cat_Bar,Cat_Gym,Cat_Lodging,Cat_Cafe_Pre,Potential
37,TpMrt,1,BR21,葫洲站,N,1.0,30,11,17,30,2,1,33,0,9,49,11160.19,1245.42,26708.0,13.61,72.72,13.69,28.45,39.48,18.71,18.83,41.58,38.6,5.81,0.35,48.02,46.0,4.49,0.88,15.86,17.52,20.8,1134.0,5.0,3.0,4.0,4.0,0.0,6.0,2,2,0,0,1,0,3,1.0
38,TpMrt,1,BR22,東湖站,N,1.0,21,11,28,32,3,1,36,0,13,51,10924.61,1221.45,26673.0,13.05,73.49,13.48,28.48,40.22,17.76,18.35,40.57,40.06,5.9,0.36,48.1,45.74,4.79,0.84,16.588,17.832,22.91,1803.0,5.0,0.0,0.0,6.0,0.0,6.0,3,2,0,0,1,0,3,1.0
39,TpMrt,1,BR23,南港軟體園區站,N,1.0,29,12,4,6,4,0,10,0,5,51,10073.43,1188.61,25777.0,13.08,73.42,13.51,28.21,40.38,17.82,18.4,39.05,41.07,6.34,0.4,48.28,45.4,5.02,0.82,9.377,11.068,15.32,1682.0,5.0,4.0,1.0,2.0,0.0,6.0,3,2,1,0,0,0,2,0.0
40,TpMrt,1,BR24_BL23,南港展覽館站,M,1.9999999999999998,25,12,19,10,3,0,13,1,6,45,8724.77,1174.58,22741.0,13.38,73.27,13.36,28.18,40.18,18.26,18.24,38.48,41.14,6.51,0.41,48.32,45.27,5.05,0.82,60.265,64.873,22.86,1650.0,4.0,1.0,0.0,4.0,0.0,8.0,3,2,0,0,1,0,3,1.0
41,TpMrt,1,G01,新店站,N,1.0,16,10,6,9,2,0,11,4,1,48,6242.16,1078.28,18264.0,9.66,71.63,18.7,26.18,41.08,13.48,26.1,39.92,44.19,5.74,0.36,47.7,45.32,4.71,0.59,26.44400000000001,26.071,29.1,927.0,4.0,1.0,2.0,2.0,0.0,7.0,1,2,0,0,0,0,2,0.0
42,TpMrt,1,G02,新店區公所站,N,1.0,30,14,40,22,3,0,25,0,7,63,9108.29,1113.07,25656.0,10.87,70.99,18.13,26.08,40.33,15.31,25.54,41.06,41.8,5.74,0.36,47.68,45.54,4.65,0.65,22.724,24.04,24.12,1343.0,7.0,0.0,2.0,7.0,0.0,7.0,2,3,0,0,2,0,3,0.0
43,TpMrt,1,G03,七張站,N,1.0,49,22,60,33,5,1,39,0,7,84,12880.04,1106.34,36322.0,11.35,70.93,17.71,26.26,40.04,16.0,24.97,41.43,40.93,5.77,0.38,47.72,45.46,4.62,0.66,32.829,34.937,23.67,2000.0,9.0,2.0,3.0,11.0,0.0,7.0,3,3,0,0,3,0,3,0.0
44,TpMrt,1,G03A,小碧潭站,N,1.0,11,4,12,15,3,1,19,0,6,88,11513.43,1056.76,34836.0,10.73,71.38,17.9,26.24,40.6,15.03,25.07,38.98,43.73,6.04,0.38,47.75,44.98,4.73,0.63,4.767,4.898,26.3,1222.0,4.0,0.0,0.0,1.0,0.0,5.0,2,2,0,0,0,0,2,0.0
45,TpMrt,1,G04_Y07,大坪林站,M,1.9999999999999998,49,28,56,29,4,2,35,0,6,106,15553.36,1105.03,44049.0,11.58,70.45,17.94,26.19,39.65,16.44,25.47,41.38,40.69,5.82,0.37,47.68,45.4,4.69,0.67,41.048,44.776,21.77,1587.0,9.0,3.0,5.0,7.0,0.0,7.0,3,3,0,0,2,0,3,0.0
46,TpMrt,1,G05,景美站,N,1.0,37,17,40,28,5,1,34,2,8,122,17727.95,1106.2,50048.0,11.6,70.26,18.12,26.07,39.58,16.51,25.79,41.72,40.41,5.74,0.37,47.58,45.31,4.74,0.67,34.082,35.32,25.69,1666.0,2.0,0.0,0.0,7.0,0.0,7.0,3,1,0,0,2,0,4,3.0
47,TpMrt,1,G06,萬隆站,N,1.0,19,10,21,19,3,0,22,0,8,148,22029.15,1159.67,58340.0,12.1,69.18,18.71,25.39,39.3,17.49,27.04,43.6,38.5,5.34,0.34,47.36,45.43,5.02,0.67,19.707,20.506,25.36,1461.0,7.0,0.0,1.0,4.0,0.0,7.0,2,3,0,0,1,0,4,1.0
48,TpMrt,1,G07,公館站,N,1.0,26,18,24,22,3,2,27,6,4,165,28253.33,1290.7,65983.0,13.86,67.14,18.99,24.35,38.25,20.65,28.29,45.73,35.29,4.7,0.3,47.27,45.83,5.42,0.69,59.24800000000001,57.968,29.72,5000.0,31.0,7.0,10.0,8.0,0.0,8.0,9,4,2,1,2,0,4,0.0
49,TpMrt,1,G08,台電大樓站,N,1.0,31,12,55,23,3,1,27,2,9,168,28514.72,1295.12,67312.0,13.74,66.93,19.31,24.24,38.17,20.53,28.85,45.1,35.75,4.94,0.34,47.4,45.47,5.55,0.7,36.956,37.656,26.9,3000.0,48.0,4.0,8.0,15.0,0.0,7.0,5,4,1,1,4,0,4,0.0
50,TpMrt,1,G09_O05,古亭站,M,1.9999999999999998,52,17,83,27,3,1,31,2,14,167,27580.41,1279.54,65924.0,13.42,67.02,19.55,24.36,38.25,20.03,29.17,44.09,36.63,5.36,0.36,47.49,45.03,5.63,0.71,65.087,69.87899999999999,23.0,2293.0,37.0,2.0,7.0,17.0,0.0,8.0,4,4,0,1,4,0,4,0.0
51,TpMrt,1,G11,小南門站,N,1.0,28,8,3,25,5,1,31,12,2,144,22571.92,1222.02,57263.0,13.51,67.66,18.85,24.98,38.34,19.97,27.85,41.32,38.39,6.24,0.41,47.82,44.33,5.67,0.77,19.011,22.316,15.95,1660.0,12.0,4.0,9.0,6.0,6.0,7.0,3,3,1,1,1,0,4,1.0
52,TpMrt,1,G12_BL11,西門站,M,1.9999999999999998,90,44,35,18,4,1,23,15,6,159,21341.4,1154.28,58165.0,12.99,68.56,18.47,25.74,38.57,18.94,26.94,38.77,40.59,7.07,0.45,48.02,43.54,5.59,0.8,151.667,145.938,30.95,3857.0,51.0,20.0,34.0,11.0,60.0,9.0,7,4,6,5,3,9,4,0.0
