Station_Name,Num_Village,Income_Gross,Income_Average,Population,Child,Adult,Old_Age,Young_Adult,Middle_Age,Child_Dependency,Old_Dependency,Higher_Edu,Sec_Edu,Ele_Edu,Uneducated,Male,Married,Immigrant,Birth
四腳亭站,29,1362.45,783.47,6067.0,11.01,72.39,16.6,27.16,40.33,15.21,22.93,26.65,51.38,9.71,1.01,49.73,40.98,4.8,0.56
基隆站,102,4037.07,825.91,16974.0,10.17,71.35,18.48,26.07,40.59,14.26,25.9,27.66,51.67,9.2,0.98,49.72,41.29,4.54,0.51
三坑站,101,3792.08,820.09,15964.0,10.09,71.02,18.89,25.84,40.57,14.2,26.6,27.81,51.5,9.31,1.0,49.64,41.14,4.54,0.49
八堵站,70,3052.53,826.57,12704.0,11.31,70.83,17.86,25.83,40.12,15.97,25.22,27.57,50.83,9.19,0.87,49.4,41.2,4.57,0.49
七堵站,25,1423.04,778.47,6178.0,10.75,73.91,15.41,28.29,40.47,14.54,20.85,26.56,51.8,10.02,0.78,50.23,41.74,3.82,0.58
百福站,19,1257.56,778.19,5413.0,11.58,75.1,13.38,28.97,40.62,15.42,17.81,26.75,51.41,9.42,0.72,49.81,41.9,3.93,0.68
海科館站,14,874.32,780.64,4193.0,10.92,76.7,12.33,29.74,41.19,14.24,16.08,26.19,53.68,8.18,0.83,49.73,41.28,6.22,0.69
暖暖站,54,2392.29,808.75,10402.0,11.44,71.25,17.34,26.11,40.28,16.06,24.34,26.56,51.1,9.78,0.97,49.63,40.86,4.87,0.53
桃園站,82,9636.34,958.55,35502.0,14.87,72.16,12.98,29.45,37.07,20.6,17.99,32.68,44.47,7.28,0.52,48.72,42.96,4.69,0.94
內壢站,41,4659.4,919.01,18384.0,15.19,73.9,10.89,30.67,37.36,20.56,14.74,31.6,45.89,6.61,0.52,49.09,42.31,4.34,1.0
中壢站,66,7350.4,964.75,27016.0,15.0,72.33,12.67,29.99,36.79,20.74,17.52,34.26,44.18,6.01,0.4,49.05,43.44,4.41,0.99
埔心站,22,2448.05,900.35,9608.0,16.29,73.84,9.86,32.26,35.72,22.06,13.35,31.2,46.25,5.88,0.36,49.67,44.04,5.25,1.13
楊梅站,23,1982.07,886.83,7830.0,15.44,73.44,11.05,31.14,36.27,21.03,15.04,30.57,47.31,6.08,0.52,49.89,43.75,4.8,1.05
富岡站,4,254.92,804.16,1154.0,12.05,72.27,15.51,30.42,35.96,16.67,21.46,27.73,48.61,9.79,1.56,52.17,46.36,3.38,1.13
新富站,3,195.53,804.65,872.0,11.93,71.9,15.94,30.62,35.67,16.59,22.17,27.98,48.28,9.98,1.61,51.83,46.33,2.98,1.15
